name,diameter,coordinates,approval year,eponym,link,cleaned_links,ethnicity
Lessing,28°30′S 90°20′W﻿ / ﻿28.5°S 90.34°W﻿ / -28.5; -90.34﻿ (Lessing),95.0,1985.0,"Gotthold Ephraim Lessing, German dramatist",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/3360,https://planetarynames.wr.usgs.gov/Feature/3360,Germany Origin Gotthold
Li Chʻing-Chao,77°58′S 71°10′W﻿ / ﻿77.96°S 71.17°W﻿ / -77.96; -71.17﻿ (Li Chʻing-Chao),69.0,1976.0,"Li Qingzhao, Chinese writer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/3378,https://planetarynames.wr.usgs.gov/Feature/3378,China Origin Chinese
Li Po,17°06′N 35°41′W﻿ / ﻿17.1°N 35.69°W﻿ / 17.1; -35.69﻿ (Li Po),126.0,1976.0,"Li Bai, Chinese poet",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/3380,https://planetarynames.wr.usgs.gov/Feature/3380,China Origin Chinese
Liang Kʻai,39°53′S 175°50′E﻿ / ﻿39.89°S 175.84°E﻿ / -39.89; 175.84﻿ (Liang Kʻai),145.0,1979.0,"Liang Kai, Chinese artist",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/3383,https://planetarynames.wr.usgs.gov/Feature/3383,China Origin Chinese
Lismer,81°31′N 166°22′E﻿ / ﻿81.51°N 166.37°E﻿ / 81.51; 166.37﻿ (Lismer),139.12,2012.0,"Arthur Lismer, Canadian painter",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/14956,https://planetarynames.wr.usgs.gov/Feature/14956,Canada Origin Arthur
Liszt,16°08′S 168°20′W﻿ / ﻿16.13°S 168.34°W﻿ / -16.13; -168.34﻿ (Liszt),79.0,1985.0,"Franz Liszt, Hungarian composer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/3424,https://planetarynames.wr.usgs.gov/Feature/3424,Hungary Origin Franz
Lorde,69°07′S 49°28′W﻿ / ﻿69.12°S 49.47°W﻿ / -69.12; -49.47﻿ (Lorde),45.0,2022.0,"Audre Lorde, American writer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/16065,https://planetarynames.wr.usgs.gov/Feature/16065,United States Origin
Lovecraft,86°14′S 73°49′W﻿ / ﻿86.24°S 73.82°W﻿ / -86.24; -73.82﻿ (Lovecraft),51.97,2013.0,"H. P. Lovecraft, American author",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/15102,https://planetarynames.wr.usgs.gov/Feature/15102,United States Origin
Lu Hsun,0°01′S 23°46′W﻿ / ﻿0.01°S 23.76°W﻿ / -0.01; -23.76﻿ (Lu Hsun),96.0,1976.0,"Lu Xun, Chinese writer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/3495,https://planetarynames.wr.usgs.gov/Feature/3495,China Origin 
Lysippus,1°02′N 132°45′W﻿ / ﻿1.03°N 132.75°W﻿ / 1.03; -132.75﻿ (Lysippus),155.0,1976.0,"Lysippos, Ancient Greek sculptor",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/3540,https://planetarynames.wr.usgs.gov/Feature/3540,Greek Origin Greek
Ma Chih-Yuan,60°01′S 78°01′W﻿ / ﻿60.01°S 78.01°W﻿ / -60.01; -78.01﻿ (Ma Chih-Yuan),197.0,1976.0,"Ma Zhiyuan, Chinese writer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/3543,https://planetarynames.wr.usgs.gov/Feature/3543,China Origin Chinese
Machaut,2°03′S 82°22′W﻿ / ﻿2.05°S 82.37°W﻿ / -2.05; -82.37﻿ (Machaut),104.0,1976.0,"Guillaume de Machaut, French poet and composer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/3555,https://planetarynames.wr.usgs.gov/Feature/3555,France Origin Guillaume
MacNicol,68°11′S 355°57′W﻿ / ﻿68.19°S 355.95°W﻿ / -68.19; -355.95﻿ (MacNicol),42.0,2022.0,"Bessie MacNicol, Scottish painter",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/16097,https://planetarynames.wr.usgs.gov/Feature/16097,Scotland Origin Bessie
Magritte,72°47′S 121°38′E﻿ / ﻿72.78°S 121.63°E﻿ / -72.78; 121.63﻿ (Magritte),149.0,2012.0,"René Magritte, Belgian painter",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/14965,https://planetarynames.wr.usgs.gov/Feature/14965,Belgium Origin René
Mahler,19°41′S 18°49′W﻿ / ﻿19.68°S 18.82°W﻿ / -19.68; -18.82﻿ (Mahler),104.0,1976.0,"Gustav Mahler, Bohemian composer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/3592,https://planetarynames.wr.usgs.gov/Feature/3592,Austria Origin Gustav
Mansart,72°43′N 123°22′W﻿ / ﻿72.72°N 123.36°W﻿ / 72.72; -123.36﻿ (Mansart),84.97,1979.0,"Jules Hardouin-Mansart, French architect",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/3636,https://planetarynames.wr.usgs.gov/Feature/3636,France Origin Jules
Mansur,47°25′N 163°37′W﻿ / ﻿47.41°N 163.61°W﻿ / 47.41; -163.61﻿ (Mansur),95.0,1979.0,"Ustad Mansur, Mughal artist",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/3638,https://planetarynames.wr.usgs.gov/Feature/3638,India Origin Ustad
