name,diameter,coordinates,approval year,gender, famous_for,ethnicity,human_name,,continent
Carolan,83°53′N 31°46′E﻿ / ﻿83.88°N 31.77°E﻿ / 83.88; 31.77﻿ (Carolan),24.34,2015,Male,composer,Ireland ,Turlough Carolan,Turlough Carolan,Europe
Castiglione,40°52′S 87°58′E﻿ / ﻿40.87°S 87.96°E﻿ / -40.87; 87.96﻿ (Castiglione),80,2015,Male,painter,Italy,Giuseppe Castiglione,Giuseppe Castiglione,Europe
Driscoll,30°35′N 33°35′W﻿ / ﻿30.58°N 33.58°W﻿ / 30.58; -33.58﻿ (Driscoll),30,2015,Female,artist,United States ,Clara Driscoll,Clara Driscoll,North America
Du Fu,25°00′N 93°40′W﻿ / ﻿25°N 93.66°W﻿ / 25; -93.66﻿ (Du Fu),33,2015,Male,artist,China,Du Fu,Du Fu,Asia
Enheduanna,48°20′N 33°35′W﻿ / ﻿48.34°N 33.59°W﻿ / 48.34; -33.59﻿ (Enheduanna),105,2015,Female,poet,Iraq,Enheduanna,Enheduanna,Asia
Jobim,32°27′N 66°53′W﻿ / ﻿32.45°N 66.88°W﻿ / 32.45; -66.88﻿ (Jobim),167,2015,Male,composer,Brazil ,Antônio Carlos Jobim,Antônio Carlos Jobim,South America
Karsh,35°29′S 78°51′E﻿ / ﻿35.49°S 78.85°E﻿ / -35.49; 78.85﻿ (Karsh),58,2015,Male,photographer,Canada ,Yousuf Karsh,Yousuf Karsh,North America
Kerouac,25°13′N 129°06′E﻿ / ﻿25.21°N 129.1°E﻿ / 25.21; 129.1﻿ (Kerouac),110,2015,Male,writer,United States ,Jack Kerouac,Jack Kerouac,North America
Kulthum,50°43′N 93°32′E﻿ / ﻿50.72°N 93.53°E﻿ / 50.72; 93.53﻿ (Kulthum),31,2015,Female,singer,Egypt ,Umm Kulthum,Umm Kulthum,Africa
Namatjira,58°49′N 33°02′W﻿ / ﻿58.82°N 33.04°W﻿ / 58.82; -33.04﻿ (Namatjira),34,2015,Male,artist,Australia ,Albert Namatjira,Albert Namatjira,Australia
Plath,37°52′N 38°50′W﻿ / ﻿37.86°N 38.84°W﻿ / 37.86; -38.84﻿ (Plath),35,2015,Female,poet,United States ,Sylvia Plath,Sylvia Plath,North America
Rivera,69°17′N 32°11′E﻿ / ﻿69.29°N 32.18°E﻿ / 69.29; 32.18﻿ (Rivera),40,2015,Male,painter,Mexico ,Diego Rivera,Diego Rivera,North America
Sapkota,86°05′N 132°47′W﻿ / ﻿86.09°N 132.79°W﻿ / 86.09; -132.79﻿ (Sapkota),27.4,2015,Male,poet,Nepal ,Mahananda Sapkota,Mahananda Sapkota,Asia
Villa-Lobos,5°16′N 6°47′E﻿ / ﻿5.27°N 6.79°E﻿ / 5.27; 6.79﻿ (Villa-Lobos),67,2015,Male,composer,Brazil ,Heitor Villa-Lobos,Heitor Villa-Lobos,South America
