Name,Diameter,Coordinates,Approval Year,Eponym,Link
Carvalho,26°49′N 51°37′W﻿ / ﻿26.82°N 51.61°W﻿ / 26.82; -51.61﻿ (Carvalho),90,,"Beth Carvalho, Brazilian musician",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/16334
Castiglione,40°52′S 87°58′E﻿ / ﻿40.87°S 87.96°E﻿ / -40.87; 87.96﻿ (Castiglione),80,2015,"Giuseppe Castiglione, Italian painter",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/15391
Catullus,21°54′N 67°33′W﻿ / ﻿21.9°N 67.55°W﻿ / 21.9; -67.55﻿ (Catullus),100.2,2012,"Gaius Valerius Catullus, Roman poet",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/15078
Cervantes,76°05′S 124°16′W﻿ / ﻿76.09°S 124.26°W﻿ / -76.09; -124.26﻿ (Cervantes),213.16,1976,"Miguel de Cervantes, Spanish writer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/1113
Cézanne,8°28′S 123°41′W﻿ / ﻿8.47°S 123.69°W﻿ / -8.47; -123.69﻿ (Cézanne),67,1985,"Paul Cézanne, French painter",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/1374
Chaikovskij,7°52′N 50°56′W﻿ / ﻿7.86°N 50.93°W﻿ / 7.86; -50.93﻿ (Chaikovskij),171,1976,"Pyotr Ilyich Tchaikovsky, Russian composer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/1121
Chao Meng-Fu,88°25′S 156°22′W﻿ / ﻿88.42°S 156.36°W﻿ / -88.42; -156.36﻿ (Chao Meng-Fu),140.73,1976,"Zhao Mengfu, Chinese artist",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/1140
Chekhov,36°12′S 61°14′W﻿ / ﻿36.2°S 61.23°W﻿ / -36.2; -61.23﻿ (Chekhov),194,1976,"Anton Chekhov, Russian playwright and writer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/1171
Chesterton,88°31′N 126°54′W﻿ / ﻿88.51°N 126.9°W﻿ / 88.51; -126.9﻿ (Chesterton),37.23,2012,"Gilbert Keith Chesterton, English author",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/15033
Chiang Kʻui,14°43′N 102°48′W﻿ / ﻿14.71°N 102.8°W﻿ / 14.71; -102.8﻿ (Chiang Kʻui),41,1976,"Jiang Kui, Chinese poet",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/1178
Chŏng Chʼŏl,46°52′N 117°19′W﻿ / ﻿46.87°N 117.31°W﻿ / 46.87; -117.31﻿ (Chŏng Chʼŏl),143,1979,"Jeong Cheol, Korean poet",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/1213
Chopin,65°27′S 123°24′W﻿ / ﻿65.45°S 123.4°W﻿ / -65.45; -123.4﻿ (Chopin),131,1976,"Frédéric Chopin, Polish composer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/1197
Chu Ta,2°02′N 105°40′W﻿ / ﻿2.04°N 105.66°W﻿ / 2.04; -105.66﻿ (Chu Ta),100,1976,"Zhu Da, Chinese painter",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/1208
Codesido,68°11′S 206°59′W﻿ / ﻿68.19°S 206.99°W﻿ / -68.19; -206.99﻿ (Codesido),64,2024,"Julia Codesido, Peruvian painter",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/16347
Coleridge,55°40′S 66°36′W﻿ / ﻿55.67°S 66.6°W﻿ / -55.67; -66.6﻿ (Coleridge),112,1976,"Samuel Taylor Coleridge, English poet",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/1266
Copland,37°38′N 72°59′E﻿ / ﻿37.63°N 72.99°E﻿ / 37.63; 72.99﻿ (Copland),208,2010,"Aaron Copland, American composer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/14649
Copley,38°38′S 86°01′W﻿ / ﻿38.63°S 86.01°W﻿ / -38.63; -86.01﻿ (Copley),34,1976,"John Singleton Copley, American painter",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/1299
Couperin,29°44′N 151°56′W﻿ / ﻿29.74°N 151.94°W﻿ / 29.74; -151.94﻿ (Couperin),80,1979,The Couperin family of French musicians,https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/1324
Cunningham,30°25′N 157°04′E﻿ / ﻿30.41°N 157.07°E﻿ / 30.41; 157.07﻿ (Cunningham),37,2008,"Imogen Cunningham, American photographer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/14393
Dali,45°10′N 119°44′E﻿ / ﻿45.16°N 119.74°E﻿ / 45.16; 119.74﻿ (Dali),176,2008,"Salvador Dalí, Spanish painter",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/14507
Damer,36°22′N 115°49′W﻿ / ﻿36.36°N 115.81°W﻿ / 36.36; -115.81﻿ (Damer),60,2013,"Anne Seymour Damer, English sculptor",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/15139
Darío,26°17′S 9°31′W﻿ / ﻿26.28°S 9.51°W﻿ / -26.28; -9.51﻿ (Darío),151,1976,"Rubén Darío, Nicaraguan writer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/1420
David,17°40′S 67°52′E﻿ / ﻿17.66°S 67.87°E﻿ / -17.66; 67.87﻿ (David),23,2013,"Jacques-Louis David, French painter",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/15140
de Graft,22°03′N 1°53′E﻿ / ﻿22.05°N 1.89°E﻿ / 22.05; 1.89﻿ (de Graft),68,2009,"Joe de Graft, Ghanaian playwright",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/14578
Debussy,33°57′S 12°32′E﻿ / ﻿33.95°S 12.54°E﻿ / -33.95; 12.54﻿ (Debussy),81,2010,"Claude Debussy, French composer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/14647
Degas,37°05′N 127°20′W﻿ / ﻿37.08°N 127.34°W﻿ / 37.08; -127.34﻿ (Degas),54,1979,"Edgar Degas, French artist",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/1458
Delacroix,44°19′S 129°31′W﻿ / ﻿44.32°S 129.51°W﻿ / -44.32; -129.51﻿ (Delacroix),158,1979,"Eugène Delacroix, French artist",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/1466
Derain,9°00′S 19°42′E﻿ / ﻿9°S 19.7°E﻿ / -9; 19.7﻿ (Derain),167,2009,"André Derain, French artist",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/14579
Derzhavin,45°36′N 36°56′W﻿ / ﻿45.6°N 36.93°W﻿ / 45.6; -36.93﻿ (Derzhavin),156,1979,"Gavril Romanovich Derzhavin, Russian poet",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/1496
Despréz,81°05′N 101°15′W﻿ / ﻿81.08°N 101.25°W﻿ / 81.08; -101.25﻿ (Despréz),47.05,1979,"Josquin des Prez, Franco-Flemish composer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/1503
Dickens,73°16′S 155°58′W﻿ / ﻿73.26°S 155.96°W﻿ / -73.26; -155.96﻿ (Dickens),77.31,1976,"Charles Dickens, English novelist",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/1527
Disney,68°09′S 99°48′E﻿ / ﻿68.15°S 99.8°E﻿ / -68.15; 99.8﻿ (Disney),113,2012,"Walt Disney, American animator",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/15079
Dominici,1°17′N 36°29′W﻿ / ﻿1.29°N 36.49°W﻿ / 1.29; -36.49﻿ (Dominici),20,2010,"Maria de Dominici, Maltese painter",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/14642
Donelaitis,52°58′S 38°25′E﻿ / ﻿52.96°S 38.42°E﻿ / -52.96; 38.42﻿ (Donelaitis),85,2013,"Kristijonas Donelaitis, Lithuanian poet",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/15098
Donne,2°55′N 14°03′W﻿ / ﻿2.92°N 14.05°W﻿ / 2.92; -14.05﻿ (Donne),86,1976,"John Donne, English poet",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/1576
Dostoevskij,44°44′S 178°07′W﻿ / ﻿44.73°S 178.11°W﻿ / -44.73; -178.11﻿ (Dostoevskij),430.06,1979,"Fyodor Dostoyevsky, Russian novelist",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/1626
Dowland,53°34′S 179°18′E﻿ / ﻿53.56°S 179.3°E﻿ / -53.56; 179.3﻿ (Dowland),158,1979,"John Dowland, English composer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/1633
Driscoll,30°35′N 33°35′W﻿ / ﻿30.58°N 33.58°W﻿ / 30.58; -33.58﻿ (Driscoll),30,2015,"Clara Driscoll, American artist",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/15392
